name,team,playerImageUrl,battingStyle,bowlingStyle,playingRole
Mehidy Hasan Miraz,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319700/319728.3.png",Right hand Bat,Right arm Offbreak,Allrounder
Ashton Agar,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321500/321559.1.png",Left hand Bat,Slow Left arm Orthodox,Bowler
Binura Fernando,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/393500/393575.2.png",Right hand Bat,Left arm Medium fast,Bowler
Dasun Shanaka,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/328000/328058.2.png",Right hand Bat,Right arm Medium,Allrounder
Asif Ali,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322100/322192.1.png",Right hand Bat,Right arm Offbreak,Middle order Batter
Simi Singh,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319800/319897.1.png",Right hand Bat,"Right arm Offbreak, Legbreak Googly",Bowling Allrounder
Hazratullah Zazai,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383222.1.png",Left hand Bat,Slow Left arm Orthodox,Opening Batter
George Munsey,Scotland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320300/320365.1.png",Left hand Bat,Right arm Medium fast,Opening Batter
Michael Jones,Scotland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322400/322444.1.png",Right hand Bat,Right arm Offbreak,Top order Batter
Matthew Cross †,Scotland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316680.1.png",Right hand Bat,N/A,Wicketkeeper Batter
Richie Berrington (c),Scotland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316587.1.png",Right hand Bat,Right arm Medium fast,Top order Batter
Calum MacLeod,Scotland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316597.1.png",Right hand Bat,"Right arm Medium fast, Right arm Offbreak",Top order Batter
Michael Leask,Scotland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316678.2.png",Right hand Bat,Right arm Offbreak,Allrounder
Chris Greaves,Scotland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/329700/329745.1.png",Right hand Bat,Legbreak,Bowler
Josh Davey,Scotland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316676.1.png",Right hand Bat,Right arm Medium fast,Bowler
Brad Wheal,Scotland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322400/322436.1.png",Right hand Bat,Right arm Fast medium,Bowler
Safyaan Sharif,Scotland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316679.1.png",Right hand Bat,Right arm Medium fast,Bowler
Mark Watt,Scotland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320300/320372.1.png",Left hand Bat,Slow Left arm Orthodox,Bowler
Kyle Mayers,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322024.1.png",Left hand Bat,Right arm Medium,Batting Allrounder
Johnson Charles,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322008.1.png",Right hand Bat,N/A,Wicketkeeper Batter
Evin Lewis,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320000/320093.1.png",Left hand Bat,N/A,Opening Batter
Brandon King,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321900/321983.1.png",Right hand Bat,N/A,Top order Batter
Nicholas Pooran (c)†,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320100/320109.2.png",Left hand Bat,Right arm Offbreak,Wicketkeeper Batter
Rovman Powell,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322100/322172.1.png",Right hand Bat,Right arm Medium fast,Middle order Batter
Odean Smith,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/351800/351853.1.png",Right hand Bat,Right arm Fast medium,Bowling Allrounder
Obed McCoy,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322031.1.png",Left hand Bat,Left arm Fast medium,Bowler
Akeal Hosein,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321900/321939.1.png",Left hand Bat,Slow Left arm Orthodox,Bowler
Alzarri Joseph,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321900/321943.1.png",Right hand Bat,Right arm Fast,Bowler
Jason Holder,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316673.1.png",Right hand Bat,Right arm Medium fast,Bowling Allrounder
Muhammad Waseem,United Arab Emirates,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/354900/354962.1.png",Right hand Bat,Right arm Medium,Opening Batter
Vriitya Aravind †,United Arab Emirates XI,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/354900/354964.1.png",Right hand Bat,N/A,Wicketkeeper Batter
CP Rizwan (c),United Arab Emirates,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320300/320320.1.png",Right hand Bat,Legbreak Googly,Middle order Batter
Alishan Sharafu,United Arab Emirates,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/351800/351852.1.png",Right hand Bat,Right arm Medium,Opening Batter
Basil Hameed,United Arab Emirates,N/A,Right hand Bat,Right arm Offbreak,Middle order Batter
Michael van Lingen,Namibia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/350300/350305.1.png",Left hand Bat,"Left arm Medium, Slow Left arm Orthodox",Bowling Allrounder
Stephan Baard,Namibia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/329700/329756.1.png",Right hand Bat,Right arm Medium fast,Batter
Jan Nicol Loftie-Eaton,Namibia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/348600/348606.1.png",Left hand Bat,"Right arm Medium, Legbreak",Batting Allrounder
Gerhard Erasmus (c),Namibia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/329700/329755.1.png",Right hand Bat,Right arm Offbreak,Allrounder
Jan Frylinck,Namibia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/348600/348605.1.png",Left hand Bat,Left arm Fast medium,Allrounder
JJ Smit,Namibia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/386900/386940.5.png",Right hand Bat,Left arm Medium fast,Bowling Allrounder
David Wiese,Namibia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322079.1.png",Right hand Bat,Right arm Medium fast,Allrounder
