match,bowlingTeam,bowlerName,bowlerNameUrl,overs,maidens,runs,wickets,economy,0s,4s,6s,wd,nb
Netherlands Vs South Africa,Netherlands,Aiden Markram,https://www.espncricinfo.com/cricketers/aiden-markram-600498,2,0,16,1,8.00,3,0,1,1,0
Netherlands Vs South Africa,South Africa,Fred Klaassen,https://www.espncricinfo.com/cricketers/fred-klaassen-1104703,4,0,20,2,5.00,15,3,0,0,0
Netherlands Vs South Africa,South Africa,Paul van Meekeren,https://www.espncricinfo.com/cricketers/paul-van-meekeren-348109,3,0,33,1,11.00,5,1,2,1,1
Netherlands Vs South Africa,South Africa,Colin Ackermann,https://www.espncricinfo.com/cricketers/colin-ackermann-379774,3,0,16,0,5.33,6,1,0,0,0
Netherlands Vs South Africa,South Africa,Roelof van der Merwe,https://www.espncricinfo.com/cricketers/roelof-van-der-merwe-47850,2,0,19,0,9.50,2,2,0,0,0
Netherlands Vs South Africa,South Africa,Brandon Glover,https://www.espncricinfo.com/cricketers/brandon-glover-595419,2,0,9,3,4.50,5,0,0,1,0
Netherlands Vs South Africa,South Africa,Logan van Beek,https://www.espncricinfo.com/cricketers/logan-van-beek-440522,3,0,23,0,7.66,4,1,1,0,0
Netherlands Vs South Africa,South Africa,Bas de Leede,https://www.espncricinfo.com/cricketers/bas-de-leede-1036191,3,0,25,2,8.33,4,1,0,1,2
England Vs Sri Lanka,England,Ben Stokes,https://www.espncricinfo.com/cricketers/ben-stokes-311158,3,0,24,1,8.00,8,1,2,0,0
England Vs Sri Lanka,England,Chris Woakes,https://www.espncricinfo.com/cricketers/chris-woakes-247235,3,0,24,1,8.00,5,3,0,1,0
England Vs Sri Lanka,England,Mark Wood,https://www.espncricinfo.com/cricketers/mark-wood-351588,3,0,26,3,8.66,8,1,2,1,0
England Vs Sri Lanka,England,Sam Curran,https://www.espncricinfo.com/cricketers/sam-curran-662973,4,0,27,1,6.75,10,2,1,0,0
England Vs Sri Lanka,England,Adil Rashid,https://www.espncricinfo.com/cricketers/adil-rashid-244497,4,0,16,1,4.00,11,0,0,0,0
England Vs Sri Lanka,England,Liam Livingstone,https://www.espncricinfo.com/cricketers/liam-livingstone-403902,2,0,16,0,8.00,2,0,1,0,0
England Vs Sri Lanka,England,Moeen Ali,https://www.espncricinfo.com/cricketers/moeen-ali-8917,1,0,5,0,5.00,1,0,0,0,0
England Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,https://www.espncricinfo.com/cricketers/maheesh-theekshana-1138316,4,0,22,0,5.50,11,1,0,1,0
England Vs Sri Lanka,Sri Lanka,Kasun Rajitha,https://www.espncricinfo.com/cricketers/kasun-rajitha-499594,3,0,40,0,13.33,4,5,1,2,0
England Vs Sri Lanka,Sri Lanka,Lahiru Kumara,https://www.espncricinfo.com/cricketers/lahiru-kumara-784375,3.4,0,24,2,6.54,11,3,0,0,1
England Vs Sri Lanka,Sri Lanka,Wanindu Hasaranga,https://www.espncricinfo.com/cricketers/wanindu-hasaranga-784379,4,0,23,2,5.75,11,1,1,0,0
England Vs Sri Lanka,Sri Lanka,Dhananjaya de Silva,https://www.espncricinfo.com/cricketers/dhananjaya-de-silva-465793,4,0,24,2,6.00,7,1,0,0,0
England Vs Sri Lanka,Sri Lanka,Charith Asalanka,https://www.espncricinfo.com/cricketers/charith-asalanka-784367,1,0,8,0,8.00,1,1,0,0,0
Australia Vs Afghanistan,Australia,Fazalhaq Farooqi,https://www.espncricinfo.com/cricketers/fazalhaq-farooqi-974175,4,0,29,2,7.25,13,4,1,0,0
Australia Vs Afghanistan,Australia,Mujeeb Ur Rahman,https://www.espncricinfo.com/cricketers/mujeeb-ur-rahman-974109,4,0,42,1,10.50,5,4,1,1,0
Australia Vs Afghanistan,Australia,Naveen-ul-Haq,https://www.espncricinfo.com/cricketers/naveen-ul-haq-793447,4,0,21,3,5.25,11,2,0,0,0
Australia Vs Afghanistan,Australia,Gulbadin Naib,https://www.espncricinfo.com/cricketers/gulbadin-naib-352048,3,0,31,0,10.33,6,3,2,0,0
Australia Vs Afghanistan,Australia,Rashid Khan,https://www.espncricinfo.com/cricketers/rashid-khan-793463,4,0,29,1,7.25,9,2,1,1,0
Australia Vs Afghanistan,Australia,Mohammad Nabi,https://www.espncricinfo.com/cricketers/mohammad-nabi-25913,1,0,14,0,14.00,1,1,1,0,0
Australia Vs Afghanistan,Afghanistan,Josh Hazlewood,https://www.espncricinfo.com/cricketers/josh-hazlewood-288284,4,0,33,2,8.25,13,2,3,0,0
Australia Vs Afghanistan,Afghanistan,Pat Cummins,https://www.espncricinfo.com/cricketers/pat-cummins-489889,4,0,22,0,5.50,12,2,0,0,0
Australia Vs Afghanistan,Afghanistan,Marcus Stoinis,https://www.espncricinfo.com/cricketers/marcus-stoinis-325012,2,0,26,0,13.00,2,2,1,2,0
Australia Vs Afghanistan,Afghanistan,Kane Richardson,https://www.espncricinfo.com/cricketers/kane-richardson-272262,4,0,48,1,12.00,4,3,3,1,0
Australia Vs Afghanistan,Afghanistan,Adam Zampa,https://www.espncricinfo.com/cricketers/adam-zampa-379504,4,0,22,2,5.50,11,1,0,0,0
Australia Vs Afghanistan,Afghanistan,Cameron Green,https://www.espncricinfo.com/cricketers/cameron-green-1076713,2,0,13,0,6.50,7,1,1,0,0
Ireland Vs New Zealand,Ireland,Josh Little,https://www.espncricinfo.com/cricketers/josh-little-928067,4,0,22,3,5.50,10,2,0,1,0
Ireland Vs New Zealand,Ireland,Mark Adair,https://www.espncricinfo.com/cricketers/mark-adair-526441,4,0,39,1,9.75,9,3,1,3,0
Ireland Vs New Zealand,Ireland,Barry McCarthy,https://www.espncricinfo.com/cricketers/barry-mccarthy-348059,4,0,46,0,11.50,4,4,2,0,0
Ireland Vs New Zealand,Ireland,Gareth Delany,https://www.espncricinfo.com/cricketers/gareth-delany-1099379,4,0,30,2,7.50,11,3,1,1,0
Ireland Vs New Zealand,Ireland,Fionn Hand,https://www.espncricinfo.com/cricketers/fionn-hand-1099225,2,0,22,0,11.00,2,2,1,0,0
Ireland Vs New Zealand,Ireland,George Dockrell,https://www.espncricinfo.com/cricketers/george-dockrell-348034,2,0,18,0,9.00,4,2,0,2,0
Ireland Vs New Zealand,New Zealand,Trent Boult,https://www.espncricinfo.com/cricketers/trent-boult-277912,4,0,38,0,9.50,8,4,1,0,0
Ireland Vs New Zealand,New Zealand,Tim Southee,https://www.espncricinfo.com/cricketers/tim-southee-232364,4,0,29,2,7.25,8,2,1,0,0
Ireland Vs New Zealand,New Zealand,Lockie Ferguson,https://www.espncricinfo.com/cricketers/lockie-ferguson-493773,4,0,22,3,5.50,10,1,0,0,0
Ireland Vs New Zealand,New Zealand,Mitchell Santner,https://www.espncricinfo.com/cricketers/mitchell-santner-502714,4,0,26,2,6.50,12,3,1,0,0
Ireland Vs New Zealand,New Zealand,Ish Sodhi,https://www.espncricinfo.com/cricketers/ish-sodhi-559066,4,0,31,2,7.75,10,0,2,1,0
Pakistan Vs South Africa,Pakistan,Wayne Parnell,https://www.espncricinfo.com/cricketers/wayne-parnell-265564,4,0,31,1,7.75,10,3,1,0,0
Pakistan Vs South Africa,Pakistan,Kagiso Rabada,https://www.espncricinfo.com/cricketers/kagiso-rabada-550215,4,0,44,1,11.00,7,4,2,0,0
Pakistan Vs South Africa,Pakistan,Lungi Ngidi,https://www.espncricinfo.com/cricketers/lungi-ngidi-542023,4,0,32,1,8.00,11,3,1,2,0
